MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
37849,6.030690147947783,-72.08423534444444,0.0,0.0,-0.2146,0.01368,0.14164,0.01688,80,1.6820000000000128,14.322,13.532,9.9,9.9,13.206654819847005,7217859.347963073
67003,6.031159763854422,-72.07984265555555,0.0,0.0,-0.88784,0.03108,0.5212,0.02472,43,2.1179999999999843,14.294,13.533,9.9,9.9,13.207654819847004,7217859.347963073
15943,6.005036578143532,-72.09622073333333,0.0,0.0,-0.32456,0.0358,-0.83252,0.04888,11,1.9679999999999875,14.304,13.533,9.9,9.9,13.207654819847004,7217859.347963073
5370,6.085151370078624,-72.09791732222222,0.0,0.0,-0.19476,0.01632,0.04784,0.05604,9,2.134000000000004,14.294,13.534,9.9,9.9,13.208654819847006,7217859.347963073
42129,6.011229300865129,-72.08345643333332,0.0,0.0,-0.1464,0.01516,0.51684,0.04196,21,2.094000000000001,14.302,13.539,9.9,9.9,13.213654819847005,7217859.347963073
35819,6.039650927830197,-72.09419535555554,0.0,0.0,-0.20676,0.01824,-0.1908,0.04808,11,1.704999999999977,14.329,13.54,9.9,9.9,13.214654819847004,7217859.347963073
66643,6.033682558398653,-72.07617568888888,0.0,0.0,-0.64192,0.02128,0.16616,0.08528,10,1.9619999999999962,14.314,13.542,9.9,9.9,13.216654819847005,7217859.347963073
10114,6.044613073685945,-72.10005627777777,0.0,0.0,0.67,0.072,-0.0574,0.04048,12,2.1719999999999864,14.3,13.542,9.9,9.9,13.216654819847005,7217859.347963073
11556,6.034398094853311,-72.1008219,0.0,0.0,0.28356,0.03412,-0.03348,0.0614,12,1.9490000000000052,14.317,13.544,9.9,9.9,13.218654819847005,7217859.347963073
36100,6.03852049669102,-72.09106558888888,0.0,0.0,-0.31556,0.01992,1.04884,0.0198,14,1.755999999999979,14.332,13.546,9.9,9.9,13.220654819847004,7217859.347963073
58012,6.081634068738828,-72.07647391111111,0.0,0.0,-0.39192,0.04628,-0.95124,0.09076,10,2.040999999999981,14.313,13.546,9.9,9.9,13.220654819847004,7217859.347963073
9095,6.052277646548588,-72.09513608888888,0.0,0.0,-0.53124,0.01708,0.19216,0.017,11,2.0720000000000187,14.312,13.547,9.9,9.9,13.221654819847005,7217859.347963073
25860,6.1009889806640745,-72.09145046666666,0.0,0.0,1.01224,0.04048,0.29444,0.0178,9,1.9370000000000136,14.321,13.547,9.9,9.9,13.221654819847005,7217859.347963073
